light_generation,light_generation_critical,name,ps_average_reservoir,ps_average_reservoir_critical,total_generation,total_generation_critical,total_spillage,total_turbining_violations,turbining_ratio,turbining_ratio_critical
820.4237261505873,764.775573713554,trial_150_60%_1.0,0.7959209395879601,0.7452309198658827,1016.9128598908751,948.9672936223849,444987.4371294871,2701.6369466287915,0.815226414713125,0.8256906823659506
821.277494262867,767.0013902606084,trial_150_60%_1.5,0.7798908245115826,0.7216924734739264,1017.2938442406622,951.9793003193569,444176.60095845745,2617.668561307183,0.8156694387427069,0.8258759984639535
822.1217861603718,769.3335446003821,trial_150_60%_2.0,0.7655813697425763,0.7038737055842889,1017.729697255535,954.8837747044706,443707.66858184565,2464.4358814462985,0.8159609346538262,0.8259904930540036
820.8446606675378,762.6124813500422,trial_150_80%_0.5,0.8071787236526182,0.7724472105004522,1017.739217502936,947.2082173193977,445116.7285041808,3326.5591548940984,0.8151266998499421,0.8255574995389796
821.6480306057143,765.0877411251038,trial_150_80%_1.0,0.7866491589723668,0.7451913478969917,1017.6941639181395,949.3369581824973,444620.62880931125,2911.198543226887,0.8154396797398487,0.8258072239612257
822.5561672305496,767.1895805771239,trial_150_80%_1.5,0.7698440574029748,0.7216541246291127,1018.0064877007796,951.8895162471266,444002.8769766427,2787.0400011714864,0.8158020733604804,0.825935954482519
823.2693341093324,769.3953277402586,trial_150_80%_2.0,0.7548860408058639,0.7026755818432313,1018.3339752792901,955.0216509146654,443372.1789657678,2629.178633477579,0.816151840726783,0.8262609080162463
819.79588418039,771.0641150327585,trial_170_0%_2.0,0.763465563628575,0.6761221736646373,1015.9192265572885,959.9784440200592,445303.21905485034,1990.0334922219488,0.8153443159818176,0.8256588320378527
822.3771469464336,765.622244791368,trial_170_100%_0.5,0.7821932774446493,0.7541929049711137,1018.1830538123775,949.7336585827916,445233.57074185467,3096.240713682245,0.8151734652539552,0.8257573790822074
823.5055866239525,767.5166128241872,trial_170_100%_1.0,0.7593952340508479,0.7248402417369484,1018.4334972513243,952.130395913306,444300.5003893994,2854.3823712844387,0.8157022848878515,0.8260105047303032
824.5097183208453,770.1210065219277,trial_170_100%_1.5,0.740487588919397,0.6985086473536347,1018.9531338096791,955.7063102414279,443203.7051152982,2605.524252374991,0.816278488240724,0.8263643489385933
825.2549432728756,772.7066319628136,trial_170_100%_2.0,0.7229206861678087,0.6721142986859994,1019.1413711938228,958.9304326449284,442788.14783529704,2514.755604840944,0.816565734926991,0.8264603176408636
820.1848808557734,769.4689024809353,trial_170_20%_1.5,0.7707600089656663,0.6948880913075451,1016.1413100534528,956.4095187155842,445103.8808775592,2099.800017781473,0.8153547674869804,0.8256167284700505
821.1001308584856,772.0528039190226,trial_170_20%_2.0,0.7558964699361403,0.6724022032724652,1016.8587013716659,960.4287802578503,444403.4508433199,2043.0237914027061,0.8157729800108754,0.8259199553641969
821.3827965911919,770.4835168718724,trial_170_40%_1.5,0.7634804022183493,0.6923858676103138,1017.0801352803464,956.9579897095401,444233.8539832193,2132.2613036489256,0.8157653701029816,0.8259418575578119
822.2758753100707,772.9454280922326,trial_170_40%_2.0,0.7479704728930954,0.669601875765947,1017.8352834237404,960.8942065922039,443440.16268755286,2104.1460876550514,0.8162198230020521,0.8262117625503111
821.480745839105,767.7059049281522,trial_170_60%_1.0,0.7732532575488801,0.7167064975552557,1017.418190079209,953.2579355102423,444092.3861184573,2495.9066331899558,0.8157308974913213,0.8260261613449701
822.5851153250923,770.8658797417984,trial_170_60%_1.5,0.7557929178223431,0.6923136310106593,1017.9967363215263,957.0531424218957,443484.054978734,2240.9201360035495,0.8161211470751238,0.8262465254731723
823.3559328838123,773.2591268828721,trial_170_60%_2.0,0.7394375141321278,0.6690276027360567,1018.5612564684462,960.8351740389205,442834.51287781575,2176.823150769267,0.8165084071565896,0.8264327198656832
821.5465373351591,765.0235762822838,trial_170_80%_0.5,0.786590682346696,0.7512474172440767,1017.8098139147143,949.2477983890715,444614.3810387253,2810.481821855386,0.8154146126461869,0.825831983117569
822.6506132246172,767.8276273677193,trial_170_80%_1.0,0.7654629450387723,0.7187679728598563,1018.0948886808728,952.6609327134273,444003.4160974244,2608.8290091997005,0.8158073250462307,0.8259041286801949
823.5911559939932,770.7511744691127,trial_170_80%_1.5,0.7475545387640495,0.6941915085874188,1018.5879699647179,956.6986025565749,443153.3019443384,2388.5404577746394,0.8162851506044964,0.8264924805965321
824.3185651795932,773.170104712921,trial_170_80%_2.0,0.7309596364038572,0.669927263026466,1018.8509541065442,960.1604795460047,442847.6763739565,2304.0237591395453,0.8165259131516567,0.8264108307237661
822.533158327812,777.7646541668887,trial_190_0%_2.0,0.7253745365252647,0.6251241992053604,1018.0932747360046,970.2855798464723,443257.50745644246,2211.6908847822365,0.8164933753259529,0.8262283152713948
825.1288482468219,773.0383234940396,trial_190_100%_0.5,0.7499942565733697,0.7066542663858008,1020.6183269570237,959.4372639964488,443948.6439419828,1891.631616323781,0.8160897379295772,0.8268556797690623
825.5890839349362,774.3951361851787,trial_190_100%_1.0,0.7285301525236461,0.6795425996184123,1020.3370625806765,961.7130020453801,442837.09443193517,2149.3671830780563,0.8166338332747127,0.826846927136834
826.1033429561433,776.4614196364255,trial_190_100%_1.5,0.7110765497348838,0.6513474076768473,1020.1645642060563,965.4115421145398,442211.3338725147,2240.2156330994294,0.8169601375121363,0.8271139218754632
827.0461620787454,778.7544478194266,trial_190_100%_2.0,0.6974537535514517,0.6268284420773552,1020.8742439447466,969.7992177941969,441091.6079285826,2476.7676996134373,0.8175169607704307,0.827508302108813
822.5702801017914,775.9894646225964,trial_190_20%_1.5,0.7342161775251507,0.6436393957076856,1018.2016151072173,967.4886544496296,443056.4631833016,2078.818214607564,0.8165018095905818,0.8268446532139577
823.5174534103295,778.6289855099543,trial_190_20%_2.0,0.7196544612478436,0.6223355348173745,1018.9020365688887,970.9110476131548,442518.44268955785,2245.663677277663,0.816844217000887,0.8265661602620537
823.4794692665114,776.8149578731096,trial_190_40%_1.5,0.7283725935305124,0.6419676748786697,1018.8174427401473,967.9708672582153,442686.1460520607,2101.6077877042935,0.8166938124957817,0.8270516203899545
824.5523586843893,779.374042279651,trial_190_40%_2.0,0.714219095171346,0.6203623621274303,1019.5941034314263,971.1751119072984,442075.23477921163,2318.8823895865544,0.8170700037287053,0.826737665269804
823.5097129320669,774.3575520269134,trial_190_60%_1.0,0.7388134333775608,0.6696652043448335,1019.0532428570182,962.4550781384065,442789.0835727534,2098.431578569962,0.8165915838094364,0.82652727792653
824.4855115733832,777.1972306438216,trial_190_60%_1.5,0.7223814363891828,0.6425472084249316,1019.4208573819641,967.8696596280251,442327.88334991405,2179.1274564906844,0.8168793011851675,0.827188206341476
825.4719443795229,779.6241237990419,trial_190_60%_2.0,0.7078982534853153,0.6206799519999575,1020.1372368769296,970.9270975845156,441642.6003305675,2352.0258102839734,0.8172852126119085,0.8268447568844123
824.0523001316989,772.3883287010478,trial_190_80%_0.5,0.7523964363484111,0.6994472524307059,1019.8463643853416,959.0374687800459,443646.1998086469,1888.190009978709,0.8161961769081719,0.8266365661576403
824.4218192571565,774.6375696820144,trial_190_80%_1.0,0.7328470800647273,0.6726086685900456,1019.5095901771706,962.3270915886122,442848.8568396804,2147.8773093417,0.8165975919050316,0.826615786166712
825.2816982294271,777.1332224332904,trial_190_80%_1.5,0.7164081280974153,0.6453308444934795,1019.8389676087012,967.1979911312588,442101.6139770515,2230.370306554249,0.8169924047222779,0.8272271263920407
826.2456701779123,779.4406952110209,trial_190_80%_2.0,0.7018367104426638,0.6227272699807505,1020.4474111896039,970.6249162086318,441457.80136244115,2398.3193732070313,0.8173652723016093,0.8271121181411664
